name,link,id,tags
Voracious Steve,https://www.spoj.com/problems/STEVE,STEVE,[]
Paying in Byteland,https://www.spoj.com/problems/PAYING,PAYING,[]
Rent your airplane and make money,https://www.spoj.com/problems/RENT,RENT,"['sorting', 'dynamic-programming', 'binary-search']"
Square dance,https://www.spoj.com/problems/SQDANCE,SQDANCE,[]
Help R2-D2!,https://www.spoj.com/problems/HELPR2D2,HELPR2D2,"['greedy', 'tree']"
Phony Primes,https://www.spoj.com/problems/PHONY,PHONY,['number-theory']
Men at work,https://www.spoj.com/problems/MAWORK,MAWORK,['bfs']
Transformation,https://www.spoj.com/problems/TRANS,TRANS,[]
Partition,https://www.spoj.com/problems/PARTIT,PARTIT,['dynamic-programming']
Election Posters,https://www.spoj.com/problems/POSTERS,POSTERS,['ad-hoc-1']
The Long and Narrow Maze,https://www.spoj.com/problems/MAZE,MAZE,[]
The Loner,https://www.spoj.com/problems/LONER,LONER,[]
Johnny and the Glue,https://www.spoj.com/problems/GLUE,GLUE,[]
Aliens,https://www.spoj.com/problems/ALIENS,ALIENS,[]
Fast Multiplication Again,https://www.spoj.com/problems/MULTIPLY,MULTIPLY,[]
Tautology,https://www.spoj.com/problems/TAUT,TAUT,['logic']
Land for Motorways,https://www.spoj.com/problems/MLAND,MLAND,['binary-search']
Fencing in the Sheep,https://www.spoj.com/problems/FSHEEP,FSHEEP,[]
Where to Drink the Plonk?,https://www.spoj.com/problems/PLONK,PLONK,[]
The Courier,https://www.spoj.com/problems/COURIER,COURIER,"['dynamic-programming', 'bitmasks']"
Balancing the Stone,https://www.spoj.com/problems/SCALES,SCALES,[]
Sweet and Sour Rock,https://www.spoj.com/problems/ROCK,ROCK,['dynamic-programming']
Choosing a Palindromic Sequence,https://www.spoj.com/problems/PALSEC,PALSEC,[]
Paint templates,https://www.spoj.com/problems/PAINTTMP,PAINTTMP,[]
Polygon,https://www.spoj.com/problems/POLY1,POLY1,[]
Sum of one-sequence,https://www.spoj.com/problems/SUM1SEQ,SUM1SEQ,['simple-math']
AB-words,https://www.spoj.com/problems/ABWORDS,ABWORDS,['bubble-cup-6-round-2']
Road net,https://www.spoj.com/problems/ROADNET,ROADNET,"['graph', 'ad-hoc-1']"
Word equations,https://www.spoj.com/problems/WORDEQ,WORDEQ,[]
How to pack containers,https://www.spoj.com/problems/CONTPACK,CONTPACK,[]
Scuba diver,https://www.spoj.com/problems/SCUBADIV,SCUBADIV,['dynamic-programming']
Window,https://www.spoj.com/problems/WINDOW1,WINDOW1,[]
Assembler circuits,https://www.spoj.com/problems/ASCIRC,ASCIRC,[]
Automatic Teller Machines,https://www.spoj.com/problems/ATMS,ATMS,[]
Chase,https://www.spoj.com/problems/CHASE1,CHASE1,[]
The lightest language,https://www.spoj.com/problems/LITELANG,LITELANG,[]
Flat broken lines,https://www.spoj.com/problems/FLBRKLIN,FLBRKLIN,[]
Rectangles,https://www.spoj.com/problems/RECTNG1,RECTNG1,[]
Musketeers,https://www.spoj.com/problems/MUSKET,MUSKET,[]
Empty Cuboids,https://www.spoj.com/problems/EMPTY,EMPTY,[]
Monodigital Representations,https://www.spoj.com/problems/MONODIG,MONODIG,['bfs']
The Game of Polygons,https://www.spoj.com/problems/POLYGAME,POLYGAME,[]
Rockets,https://www.spoj.com/problems/ROCKETS,ROCKETS,[]
Potholers,https://www.spoj.com/problems/POTHOLE,POTHOLE,"['max-flow', 'sorting', 'bfs']"
Sleepwalker,https://www.spoj.com/problems/SLEEP,SLEEP,[]
Icerink,https://www.spoj.com/problems/ICERINK,ICERINK,[]
Bitmap,https://www.spoj.com/problems/BITMAP,BITMAP,[]
Three-coloring of binary trees,https://www.spoj.com/problems/THREECOL,THREECOL,['dynamic-programming']
Store-keeper,https://www.spoj.com/problems/STORE,STORE,[]
The Map,https://www.spoj.com/problems/MAP,MAP,[]
The Altars,https://www.spoj.com/problems/ALTARS,ALTARS,[]
Primitivus recurencis,https://www.spoj.com/problems/PRIMIT,PRIMIT,[]
Water among Cubes,https://www.spoj.com/problems/WATER,WATER,['bfs']
Panic in the Plazas,https://www.spoj.com/problems/PANIC,PANIC,"['graph-theory', 'shortest-path']"
Soldiers on Parade,https://www.spoj.com/problems/SOPARADE,SOPARADE,[]
Relevant Phrases of Annihilation,https://www.spoj.com/problems/PHRASES,PHRASES,[]
Vonny and her dominos,https://www.spoj.com/problems/VONNY,VONNY,['backtracking']
Jewelry and Fashion,https://www.spoj.com/problems/JEWELS,JEWELS,[]
Ordering the Soldiers,https://www.spoj.com/problems/ORDERS,ORDERS,"['tree', 'bitmasks']"
Shamans,https://www.spoj.com/problems/SHAMAN,SHAMAN,[]
Sorting is easy,https://www.spoj.com/problems/SORTING,SORTING,[]
The Zebra Crossing,https://www.spoj.com/problems/ZEBRA,ZEBRA,[]
Getting Rid of the Holidays (Act I),https://www.spoj.com/problems/HOLIDAY1,HOLIDAY1,[]
Very Fast Multiplication,https://www.spoj.com/problems/VFMUL,VFMUL,"['simple-math', 'big-numbers', 'karatsuba']"
Converting number formats,https://www.spoj.com/problems/ROMAN,ROMAN,[]
Sums in a Triangle,https://www.spoj.com/problems/SUMITR,SUMITR,"['dynamic-programming', 'short-coding']"
Getting Rid of the Holidays (Act II),https://www.spoj.com/problems/HOLIDAY2,HOLIDAY2,[]
Tour de Byteland,https://www.spoj.com/problems/BTOUR,BTOUR,[]
Arranging the Blocks,https://www.spoj.com/problems/BLOCKS,BLOCKS,[]
Stable Marriage Problem,https://www.spoj.com/problems/STABLEMP,STABLEMP,['stable-marriage-problem']
Square Root,https://www.spoj.com/problems/SQRROOT,SQRROOT,[]
Chocolate,https://www.spoj.com/problems/CHOCOLA,CHOCOLA,[]
Containers,https://www.spoj.com/problems/CTAIN,CTAIN,[]
Triangle Partitioning,https://www.spoj.com/problems/TRIPART,TRIPART,[]
Connections,https://www.spoj.com/problems/CONNECT,CONNECT,[]
Period,https://www.spoj.com/problems/PERIOD,PERIOD,[]
Corporative Network,https://www.spoj.com/problems/CORNET,CORNET,[]
Cave Exploration,https://www.spoj.com/problems/CAVE,CAVE,[]
Johnny and the Watermelon Plantation,https://www.spoj.com/problems/WMELON,WMELON,[]
The Water Ringroad,https://www.spoj.com/problems/WATERWAY,WATERWAY,[]
City Game,https://www.spoj.com/problems/CTGAME,CTGAME,['dynamic-programming']
Bicycle,https://www.spoj.com/problems/BICYCLE,BICYCLE,[]
Interesting number,https://www.spoj.com/problems/INUMBER,INUMBER,['bfs']
Lifts,https://www.spoj.com/problems/LIFTS,LIFTS,[]
Naptime,https://www.spoj.com/problems/NAPTIME,NAPTIME,[]
Selfish Cities,https://www.spoj.com/problems/SCITIES,SCITIES,"['combinatorics', 'weighted-matching']"
Smart Network Administrator,https://www.spoj.com/problems/NETADMIN,NETADMIN,['max-flow']
Prime or Not,https://www.spoj.com/problems/PON,PON,"['cryptography', 'prime-numbers-1', 'primality-test']"
Polynomial Equations,https://www.spoj.com/problems/POLYEQ,POLYEQ,[]
Cube Root,https://www.spoj.com/problems/CUBERT,CUBERT,['math']
Alibaba,https://www.spoj.com/problems/ALIBB,ALIBB,[]
Officers on the Beat,https://www.spoj.com/problems/OFBEAT,OFBEAT,[]
Teamwork is Crucial,https://www.spoj.com/problems/TWORK,TWORK,[]
Aggressive cows,https://www.spoj.com/problems/AGGRCOW,AGGRCOW,['binary-search']
Cable TV Network,https://www.spoj.com/problems/CABLETV,CABLETV,[]
Booklets,https://www.spoj.com/problems/BOOK,BOOK,[]
Count on Cantor,https://www.spoj.com/problems/CANTON,CANTON,[]
The Unstable Cube,https://www.spoj.com/problems/UCUBE,UCUBE,[]
The Room Pattern,https://www.spoj.com/problems/RATTERN,RATTERN,[]
Pythagorean Legacy,https://www.spoj.com/problems/PITPAIR,PITPAIR,[]
The Tall Windmills,https://www.spoj.com/problems/WINDMILL,WINDMILL,[]
Platon and Socrates,https://www.spoj.com/problems/PLATON,PLATON,[]
Bishops,https://www.spoj.com/problems/BISHOPS,BISHOPS,"['math', 'big-numbers', 'ad-hoc-1']"
Calls,https://www.spoj.com/problems/CALLS,CALLS,[]
Hard Question,https://www.spoj.com/problems/HARDQ,HARDQ,[]
The Philosophical Dispute,https://www.spoj.com/problems/PHDISP,PHDISP,[]
Exchange Operations,https://www.spoj.com/problems/EOPERA,EOPERA,[]
Roads,https://www.spoj.com/problems/ROADS,ROADS,[]
Recursive Sequence,https://www.spoj.com/problems/SEQ,SEQ,['recursion']
Poker,https://www.spoj.com/problems/POKER,POKER,[]
Mixtures,https://www.spoj.com/problems/MIXTURES,MIXTURES,['dynamic-programming']
Bytelandian gold coins,https://www.spoj.com/problems/COINS,COINS,['dynamic-programming']
Lazy Cows,https://www.spoj.com/problems/LAZYCOWS,LAZYCOWS,[]
Expedition,https://www.spoj.com/problems/EXPEDI,EXPEDI,['greedy']
Around the world,https://www.spoj.com/problems/AROUND,AROUND,[]
Landscaping,https://www.spoj.com/problems/LANDSCAP,LANDSCAP,[]
Ha-noi!,https://www.spoj.com/problems/HAN01,HAN01,[]
Alpha Centauri Tennis,https://www.spoj.com/problems/ACT,ACT,[]
Ignore the Garbage,https://www.spoj.com/problems/IGARB,IGARB,[]
Pocket Money,https://www.spoj.com/problems/LISA,LISA,[]
Phidias,https://www.spoj.com/problems/PHIDIAS,PHIDIAS,['dynamic-programming']
Farmer,https://www.spoj.com/problems/FARMER,FARMER,['ad-hoc-1']
Empodia,https://www.spoj.com/problems/EMPODIA,EMPODIA,[]
Cobbled streets,https://www.spoj.com/problems/CSTREET,CSTREET,['mst']
Math I,https://www.spoj.com/problems/MATH1,MATH1,[]
Ones and zeros,https://www.spoj.com/problems/ONEZERO,ONEZERO,['bfs']
Boxes,https://www.spoj.com/problems/BOXES,BOXES,[]
The Benefactor,https://www.spoj.com/problems/BENEFACT,BENEFACT,"['shortest-path', 'dfs']"
Greedy island,https://www.spoj.com/problems/GREED,GREED,"['max-flow', 'minimum-cost-flow']"
Query on a tree,https://www.spoj.com/problems/QTREE,QTREE,['tree']
A concrete simulation,https://www.spoj.com/problems/ACS,ACS,[]
Taxi,https://www.spoj.com/problems/TAXI,TAXI,"['max-flow', 'matching']"
Ambiguous Permutations,https://www.spoj.com/problems/PERMUT2,PERMUT2,['ad-hoc-1']
Bullshit Bingo,https://www.spoj.com/problems/BINGO,BINGO,[]
106 miles to Chicago,https://www.spoj.com/problems/CHICAGO,CHICAGO,['graph']
Decorate the wall,https://www.spoj.com/problems/DECORATE,DECORATE,[]
European railroad tracks,https://www.spoj.com/problems/EUROPEAN,EUROPEAN,[]
Any fool can do it,https://www.spoj.com/problems/FOOL,FOOL,[]
Game schedule required,https://www.spoj.com/problems/GAME,GAME,[]
Help the problem setter,https://www.spoj.com/problems/HELP,HELP,[]
Travelling tours,https://www.spoj.com/problems/TOURS,TOURS,[]
Menu,https://www.spoj.com/problems/MENU,MENU,['dynamic-programming']
Use of Hospital Facilities,https://www.spoj.com/problems/HOSPITAL,HOSPITAL,[]
Billiard,https://www.spoj.com/problems/BILLIARD,BILLIARD,[]
Railroads,https://www.spoj.com/problems/RAILROAD,RAILROAD,[]
Spin,https://www.spoj.com/problems/SPIN,SPIN,[]
Hexagon,https://www.spoj.com/problems/HEXAGON,HEXAGON,[]
Alphacode,https://www.spoj.com/problems/ACODE,ACODE,['dynamic-programming']
Anti-prime Sequences,https://www.spoj.com/problems/APRIME,APRIME,[]
Hit or Miss,https://www.spoj.com/problems/HITOMISS,HITOMISS,[]
I Conduit,https://www.spoj.com/problems/CONDUIT,CONDUIT,['plane-geometry']
Roll Playing Games,https://www.spoj.com/problems/RPGAMES,RPGAMES,[]
Team Rankings,https://www.spoj.com/problems/TRANK,TRANK,[]
To and Fro,https://www.spoj.com/problems/TOANDFRO,TOANDFRO,['ad-hoc-1']
Translations,https://www.spoj.com/problems/TRANSL,TRANSL,[]
Hike on a Graph,https://www.spoj.com/problems/HIKE,HIKE,['bfs']
Sort fractions,https://www.spoj.com/problems/FRACTION,FRACTION,[]
Scanner,https://www.spoj.com/problems/SCANNER,SCANNER,[]
Tin Cutter,https://www.spoj.com/problems/TCUTTER,TCUTTER,[]
Logic,https://www.spoj.com/problems/LOGIC,LOGIC,[]
Random Number,https://www.spoj.com/problems/RNUMBER,RNUMBER,[]
Jill Rides Again,https://www.spoj.com/problems/JRIDE,JRIDE,['ad-hoc-1']
DEL Command,https://www.spoj.com/problems/DELCOMM,DELCOMM,[]
Variable Radix Huffman Encoding,https://www.spoj.com/problems/VHUFFM,VHUFFM,[]
Number of quite different words,https://www.spoj.com/problems/NUMQDW,NUMQDW,[]
K-path cover,https://www.spoj.com/problems/COVER,COVER,['minimum-cost-flow']
Word Puzzles,https://www.spoj.com/problems/WPUZZLES,WPUZZLES,[]
Equatorial Bonfire,https://www.spoj.com/problems/BONFIRE,BONFIRE,[]
Divisibility by 15,https://www.spoj.com/problems/DIV15,DIV15,[]
The lazy programmer,https://www.spoj.com/problems/LAZYPROG,LAZYPROG,[]
Necklace,https://www.spoj.com/problems/NECKLACE,NECKLACE,[]
Transposing is Fun,https://www.spoj.com/problems/TRANSP,TRANSP,[]
Another Road Problem,https://www.spoj.com/problems/AROAD,AROAD,[]
Transposing is Even More Fun,https://www.spoj.com/problems/TRANSP2,TRANSP2,[]
Assignments,https://www.spoj.com/problems/ASSIGN,ASSIGN,['dynamic-programming']
Particular Palindromes,https://www.spoj.com/problems/PARTPALI,PARTPALI,['dynamic-programming']
Simple Numbers with Fractions Conversion,https://www.spoj.com/problems/TCNUMFL,TCNUMFL,[]
Permutation generator,https://www.spoj.com/problems/TPERML,TPERML,"['combinatorics', 'recursion']"
Roots of polynomial,https://www.spoj.com/problems/KMSL4B,KMSL4B,[]
Fossil in the Ice,https://www.spoj.com/problems/TFOSS,TFOSS,[]
Prime Intervals,https://www.spoj.com/problems/PRINT,PRINT,[]
Collatz,https://www.spoj.com/problems/CLTZ,CLTZ,[]
Zig-Zag Permutation,https://www.spoj.com/problems/ZZPERM,ZZPERM,[]
Divisors,https://www.spoj.com/problems/DIV,DIV,['number-theory']
Divisors 2,https://www.spoj.com/problems/DIV2,DIV2,['number-theory']
Increasing Subsequences,https://www.spoj.com/problems/INCR,INCR,[]
Dungeon of Death,https://www.spoj.com/problems/QUEST4,QUEST4,['matching']
Nail Them,https://www.spoj.com/problems/QUEST5,QUEST5,[]
String it out,https://www.spoj.com/problems/SUBS,SUBS,['binary-search']
Con-Junctions,https://www.spoj.com/problems/VOCV,VOCV,['graph-theory']
Sorting is not easy,https://www.spoj.com/problems/LSORT,LSORT,"['dynamic-programming', 'bitmasks']"
A place for the brewery,https://www.spoj.com/problems/BROW,BROW,[]
Building the Tower,https://www.spoj.com/problems/HANOI07,HANOI07,[]
Pairs of Integers,https://www.spoj.com/problems/PAIRINT,PAIRINT,[]
Partition the sequence,https://www.spoj.com/problems/SEQPAR,SEQPAR,[]
Repeats,https://www.spoj.com/problems/REPEATS,REPEATS,[]
Toy Cars,https://www.spoj.com/problems/SAM,SAM,[]
Lethal Warfare,https://www.spoj.com/problems/LWAR,LWAR,[]
Distinct Substrings,https://www.spoj.com/problems/DISUBSTR,DISUBSTR,['suffix-array-8']
Unite Fast,https://www.spoj.com/problems/UFAST,UFAST,[]
Truth or not,https://www.spoj.com/problems/LIAR,LIAR,[]
Matrix Words,https://www.spoj.com/problems/MWORDS,MWORDS,[]
Plane Hopping,https://www.spoj.com/problems/PLHOP,PLHOP,[]
Huge Knap Sack,https://www.spoj.com/problems/HKNAP,HKNAP,[]
Branch Prediction,https://www.spoj.com/problems/BPRED,BPRED,[]
Barn Expansion,https://www.spoj.com/problems/EXPAND,EXPAND,[]
Mobile Service,https://www.spoj.com/problems/SERVICE,SERVICE,['dynamic-programming']
Remove The String,https://www.spoj.com/problems/PSTRING,PSTRING,[]
New Distinct Substrings,https://www.spoj.com/problems/SUBST1,SUBST1,['suffix-array-8']
Triple-Free Sets,https://www.spoj.com/problems/TFSETS,TFSETS,[]
The day of the competitors,https://www.spoj.com/problems/NICEDAY,NICEDAY,['tree']
Promotion,https://www.spoj.com/problems/PRO,PRO,['disjoint-set-2']
Move your armies,https://www.spoj.com/problems/MAXIMUS,MAXIMUS,[]
Mountain Walking,https://www.spoj.com/problems/MTWALK,MTWALK,[]
Ivan and his interesting game,https://www.spoj.com/problems/IVAN,IVAN,[]
Minimum Diameter Spanning Tree,https://www.spoj.com/problems/MDST,MDST,[]
Another Counting Problem,https://www.spoj.com/problems/TREE,TREE,"['big-numbers', 'recursion']"
The Moronic Cowmpouter,https://www.spoj.com/problems/NEG2,NEG2,[]
Treats for the Cows,https://www.spoj.com/problems/TRT,TRT,['dynamic-programming']
Steady Cow Assignment,https://www.spoj.com/problems/STEAD,STEAD,[]
Longest Permutation,https://www.spoj.com/problems/LPERMUT,LPERMUT,[]
Thermal Luminescence,https://www.spoj.com/problems/TEM,TEM,['dynamic-programming']
Convex Hull 3D,https://www.spoj.com/problems/CH3D,CH3D,[]
The Archipelago,https://www.spoj.com/problems/ARCHPLG,ARCHPLG,"['graph-theory', 'dijkstra-s-algorithm', 'plane-geometry']"
Trigonometric optimization,https://www.spoj.com/problems/TRIOPT,TRIOPT,[]
Optimal Marks,https://www.spoj.com/problems/OPTM,OPTM,[]
Soccer Choreography,https://www.spoj.com/problems/WM06,WM06,['bubble-cup-7-round-2']
Counting inversions,https://www.spoj.com/problems/SWAPS,SWAPS,[]
DNA Translation,https://www.spoj.com/problems/DNA,DNA,[]
Perfect Cubes,https://www.spoj.com/problems/CUBES,CUBES,['ad-hoc-1']
Galactic Import,https://www.spoj.com/problems/IMPORT,IMPORT,[]
Basically Speaking,https://www.spoj.com/problems/BASE,BASE,[]
Letter Sequence Analysis,https://www.spoj.com/problems/SEQUENCE,SEQUENCE,[]
Mark-up,https://www.spoj.com/problems/MARKUP,MARKUP,[]
Transmitters,https://www.spoj.com/problems/TRANSMIT,TRANSMIT,[]
Ws Cipher,https://www.spoj.com/problems/WSCIPHER,WSCIPHER,['ad-hoc-1']
Split Windows,https://www.spoj.com/problems/SPLIT,SPLIT,[]
Index Generation,https://www.spoj.com/problems/INDEXGEN,INDEXGEN,[]
Hangover,https://www.spoj.com/problems/HANGOVER,HANGOVER,['math']
Double Vision,https://www.spoj.com/problems/DOUBLEVI,DOUBLEVI,[]
Image Perimeters,https://www.spoj.com/problems/IMAGE,IMAGE,['ad-hoc-1']
Submatrix of submatrix,https://www.spoj.com/problems/MATRIX2,MATRIX2,[]
Query on a tree II,https://www.spoj.com/problems/QTREE2,QTREE2,"['graph-theory', 'tree']"
Free Tour,https://www.spoj.com/problems/FTOUR,FTOUR,[]
Intergalactic Map,https://www.spoj.com/problems/IM,IM,['max-flow']
Entrapment,https://www.spoj.com/problems/EN,EN,[]
Parking Bay,https://www.spoj.com/problems/PB,PB,[]
Birthday,https://www.spoj.com/problems/BIRTHDAY,BIRTHDAY,[]
Mobile,https://www.spoj.com/problems/MOBILE,MOBILE,[]
Continuous Fractions,https://www.spoj.com/problems/CFRAC,CFRAC,[]
Generalized Matrioshkas,https://www.spoj.com/problems/MATRIOSH,MATRIOSH,[]
Equidivisions,https://www.spoj.com/problems/EQDIV,EQDIV,[]
Babylonian Roulette,https://www.spoj.com/problems/BROUL,BROUL,[]
